Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Abr 2019,"5,163,265.4",102.0,"4,179,471.1",82.6,"353,785.0",7.0,"534,561.2",10.6,0.0,0.0,"95,448.2",1.9,"1,118.6",0.022104736
May 2019,"5,204,314.2",102.8,"4,225,174.6",83.5,"350,508.4",6.9,"532,697.7",10.5,0.0,0.0,"95,933.6",1.9,"1,368.0",0.027033148
Jun 2019,"5,230,743.8",103.4,"4,247,809.5",83.9,"352,168.5",7.0,"537,230.7",10.6,6.1,0.0,"93,529.1",1.8,"1,376.8",0.027207046
Jul 2019,"5,221,667.8",103.2,"4,248,640.6",84.0,"351,124.4",6.9,"529,544.6",10.5,1.7,0.0,"92,356.4",1.8,"1,086.6",0.021472382
Ago 2019,"5,298,142.3",104.7,"4,309,382.5",85.2,"351,335.5",6.9,"536,975.8",10.6,0.0,0.0,"100,448.6",2.0,"1,107.5",0.021885389
Sep 2019,"5,219,240.6",103.1,"4,277,160.4",84.5,"358,285.6",7.1,"493,432.8",9.8,0.0,0.0,"90,361.7",1.8,"1,277.3",0.025240819
Oct 2019,"5,208,801.2",102.9,"4,273,577.8",84.5,"351,020.1",6.9,"499,967.3",9.9,0.0,0.0,"84,236.0",1.7,"1,668.7",0.032975303
Nov 2019,"5,292,506.2",104.6,"4,325,858.6",85.5,"370,423.9",7.3,"515,910.4",10.2,0.0,0.0,"80,313.3",1.6,"1,758.3",0.034745895
Dic 2019,"5,307,309.9",104.9,"4,281,464.3",84.6,"381,248.3",7.5,"566,106.9",11.2,0.0,0.0,"78,490.4",1.6,"1,533.9",0.03031151
Ene 2020,"5,302,077.2",104.8,"4,290,948.2",84.8,"365,499.7",7.2,"562,983.7",11.1,0.0,0.0,"82,645.6",1.6,"1,529.7",0.030228514
Feb 2020,"5,336,621.4",105.5,"4,333,357.0",85.6,"362,696.4",7.2,"552,511.5",10.9,0.0,0.0,"88,056.5",1.7,"1,746.3",0.034508762
Mar 2020,"5,666,680.8",112.0,"4,627,771.7",91.4,"371,995.3",7.4,"568,234.7",11.2,0.0,0.0,"98,679.1",2.0,"2,791.2",0.055157108
Abr 2020,"5,733,408.9",113.3,"4,698,104.0",92.8,"363,805.6",7.2,"565,227.0",11.2,0.0,0.0,"106,272.4",2.1,"2,808.4",0.055496998
May 2020,"5,623,053.1",111.1,"4,624,995.3",91.4,"351,051.1",6.9,"550,051.2",10.9,0.0,0.0,"96,955.5",1.9,"2,812.0",0.055568138
Jun 2020,"5,563,216.4",109.9,"4,578,287.4",90.5,"346,251.2",6.8,"545,010.2",10.8,0.0,0.0,"93,667.7",1.9,"2,858.2",0.056481099
Jul 2020,"5,469,247.7",108.1,"4,497,690.6",88.9,"336,593.1",6.7,"545,545.2",10.8,0.0,0.0,"89,418.7",1.8,"2,701.7",0.053388491
Ago 2020,"5,414,230.7",107.0,"4,458,289.9",88.1,"325,298.0",6.4,"545,681.7",10.8,0.0,0.0,"84,961.0",1.7,"2,667.1",0.052704758
Sep 2020,"5,381,645.1",106.3,"4,422,261.0",87.4,"322,607.0",6.4,"556,253.4",11.0,0.0,0.0,"80,523.7",1.6,"2,819.5",0.055716346
Oct 2020,"5,319,971.8",105.1,"4,428,683.8",87.5,"265,997.6",5.3,"548,069.0",10.8,0.0,0.0,"77,221.4",1.5,"2,735.8",0.054062344
Nov 2020,"5,253,794.2",103.8,"4,390,015.2",86.8,"277,050.0",5.5,"522,631.6",10.3,0.0,0.0,"64,097.4",1.3,"1,942.7",0.038389837
Dic 2020,"5,200,378.9",102.8,"4,330,419.3",85.6,"273,193.5",5.4,"534,108.5",10.6,0.0,0.0,"62,657.6",1.2,"1,841.3",0.036386064
Ene 2021,"5,245,642.3",103.7,"4,337,320.1",85.7,"262,503.1",5.2,"580,363.5",11.5,0.0,0.0,"65,455.7",1.3,"1,962.7",0.038785058
Feb 2021,"5,251,596.2",103.8,"4,345,926.6",85.9,"268,344.7",5.3,"577,543.8",11.4,0.0,0.0,"59,781.2",1.2,"1,907.0",0.037684367
Mar 2021,"5,255,914.6",103.9,"4,342,693.8",85.8,"263,556.8",5.2,"593,757.9",11.7,0.0,0.0,"55,906.1",1.1,"2,346.4",0.046367382
