Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Nov 2010,"2,098,611.3",41.5,"1,626,395.4",32.1,"127,726.9",2.5,"282,958.2",5.6,"11,702.9",0.2,"49,827.9",1.0,"1,003.8",0.019836165
Dic 2010,"2,125,524.7",42.0,"1,645,961.7",32.5,"124,779.7",2.5,"294,844.3",5.8,"11,323.3",0.2,"48,615.7",1.0,"1,592.4",0.031467533
Ene 2011,"2,116,837.7",41.8,"1,656,923.8",32.7,"111,889.4",2.2,"287,504.8",5.7,"13,835.9",0.3,"46,683.8",0.9,"1,367.3",0.027019315
Feb 2011,"2,152,721.9",42.5,"1,677,196.3",33.1,"110,145.0",2.2,"304,116.8",6.0,"13,525.1",0.3,"47,738.7",0.9,"1,358.6",0.026847394
Mar 2011,"2,173,050.2",42.9,"1,703,111.1",33.7,"109,096.6",2.2,"302,173.7",6.0,"13,489.1",0.3,"45,179.7",0.9,"2,809.6",0.055520711
Abr 2011,"2,210,892.6",43.7,"1,707,607.3",33.7,"133,567.3",2.6,"310,818.7",6.1,"13,502.9",0.3,"45,396.4",0.9,"2,782.8",0.054991115
May 2011,"2,224,558.7",44.0,"1,724,683.9",34.1,"131,514.0",2.6,"307,369.6",6.1,"13,192.0",0.3,"47,799.2",0.9,"3,005.3",0.059387953
Jun 2011,"2,224,265.3",44.0,"1,737,862.6",34.3,"129,172.4",2.6,"289,891.8",5.7,"13,151.2",0.3,"54,187.2",1.1,"2,842.7",0.056174803
Jul 2011,"2,250,926.9",44.5,"1,762,720.6",34.8,"131,925.1",2.6,"291,006.0",5.8,"13,166.0",0.3,"52,109.2",1.0,"3,068.2",0.060630925
Ago 2011,"2,278,301.6",45.0,"1,783,340.3",35.2,"133,745.2",2.6,"300,566.0",5.9,"12,855.5",0.3,"47,794.6",0.9,"2,993.6",0.059156749
Sep 2011,"2,335,001.5",46.1,"1,829,522.7",36.2,"135,742.8",2.7,"300,798.2",5.9,"12,814.8",0.3,"56,123.0",1.1,"2,751.0",0.054362712
Oct 2011,"2,334,484.6",46.1,"1,834,775.7",36.3,"134,095.3",2.6,"302,763.8",6.0,"12,825.3",0.3,"50,024.5",1.0,"3,242.8",0.064081208
Nov 2011,"2,391,790.9",47.3,"1,876,037.2",37.1,"144,182.0",2.8,"309,353.6",6.1,"12,520.1",0.2,"49,698.0",1.0,"3,332.6",0.065855753
Dic 2011,"2,461,500.4",48.6,"1,912,494.6",37.8,"167,929.0",3.3,"323,437.6",6.4,"9,362.3",0.2,"48,276.9",1.0,"1,725.5",0.034097732
Ene 2012,"2,450,079.2",48.4,"1,901,163.9",37.6,"166,507.7",3.3,"327,361.0",6.5,"9,364.3",0.2,"45,682.3",0.9,"1,395.9",0.027584482
Feb 2012,"2,449,153.7",48.4,"1,904,650.4",37.6,"165,129.5",3.3,"324,586.3",6.4,"9,201.6",0.2,"45,585.9",0.9,"1,338.1",0.026442292
Mar 2012,"2,490,260.7",49.2,"1,930,664.8",38.2,"168,543.4",3.3,"333,830.5",6.6,"8,985.6",0.2,"48,236.3",1.0,826.0,0.016322646
Abr 2012,"2,499,637.5",49.4,"1,928,785.1",38.1,"179,479.4",3.5,"334,094.7",6.6,"8,989.0",0.2,"48,289.5",1.0,"1,472.3",0.029094228
May 2012,"2,552,344.8",50.4,"1,979,504.0",39.1,"180,136.2",3.6,"336,504.4",6.6,"8,681.2",0.2,"47,519.0",0.9,"2,570.2",0.05078991
Jun 2012,"2,570,622.5",50.8,"1,989,286.3",39.3,"183,979.0",3.6,"349,226.1",6.9,"8,648.7",0.2,"39,482.4",0.8,"2,798.3",0.055297411
Jul 2012,"2,584,779.6",51.1,"2,002,157.3",39.6,"185,760.4",3.7,"348,486.3",6.9,"8,651.0",0.2,"39,724.6",0.8,"2,602.1",0.051420289
Ago 2012,"2,611,144.1",51.6,"2,014,584.8",39.8,"193,305.3",3.8,"353,608.8",7.0,"8,345.2",0.2,"41,300.0",0.8,"2,142.6",0.042340075
Sep 2012,"2,638,790.5",52.1,"2,036,629.8",40.2,"198,575.8",3.9,"356,616.5",7.0,"8,312.2",0.2,"38,656.2",0.8,"2,422.5",0.0478712
Oct 2012,"2,651,598.1",52.4,"2,047,379.0",40.5,"200,001.9",4.0,"358,759.6",7.1,"8,313.8",0.2,"37,143.7",0.7,"2,679.2",0.052943867
Nov 2012,"2,704,824.1",53.5,"2,080,202.6",41.1,"214,973.1",4.2,"364,797.5",7.2,"8,308.8",0.2,"36,542.1",0.7,"1,984.0",0.039205969
Dic 2012,"2,753,563.1",54.4,"2,100,727.8",41.5,"227,623.2",4.5,"383,380.3",7.6,"8,043.5",0.2,"33,788.3",0.7,"2,129.9",0.04208911
Ene 2013,"2,749,289.3",54.3,"2,102,753.8",41.6,"224,257.1",4.4,"377,263.4",7.5,"8,039.5",0.2,"36,975.4",0.7,"1,413.1",0.027924373
Feb 2013,"2,757,871.0",54.5,"2,113,139.3",41.8,"223,900.8",4.4,"380,544.8",7.5,"8,039.6",0.2,"32,246.4",0.6,"2,120.7",0.041907308
Mar 2013,"2,765,605.7",54.7,"2,118,774.5",41.9,"227,672.7",4.5,"381,131.1",7.5,"8,049.6",0.2,"29,977.9",0.6,"2,895.4",0.057216211
Abr 2013,"2,780,432.3",54.9,"2,136,986.2",42.2,"230,690.3",4.6,"378,598.8",7.5,"8,043.5",0.2,"26,113.5",0.5,"2,633.6",0.052042762
May 2013,"2,816,764.1",55.7,"2,165,561.3",42.8,"235,432.6",4.7,"379,035.2",7.5,"6,038.8",0.1,"30,696.1",0.6,"3,144.8",0.062144623
Jun 2013,"2,837,711.9",56.1,"2,174,878.1",43.0,"242,247.7",4.8,"382,147.0",7.6,"4,036.1",0.1,"34,403.0",0.7,"3,570.9",0.070564816
Jul 2013,"2,852,000.2",56.4,"2,197,484.5",43.4,"241,601.0",4.8,"378,937.7",7.5,"4,037.6",0.1,"29,939.3",0.6,"4,312.0",0.085209748
Ago 2013,"2,900,015.3",57.3,"2,230,163.8",44.1,"243,400.2",4.8,"383,627.9",7.6,"4,004.9",0.1,"38,818.5",0.8,"2,656.1",0.052487387
Sep 2013,"2,903,042.6",57.4,"2,239,187.9",44.2,"246,338.7",4.9,"382,639.8",7.6,"4,005.8",0.1,"30,870.4",0.6,"2,612.9",0.051633708
Oct 2013,"2,942,583.8",58.1,"2,261,458.4",44.7,"246,066.2",4.9,"393,695.8",7.8,"4,006.6",0.1,"37,356.8",0.7,"1,978.9",0.039105188
Nov 2013,"2,986,002.3",59.0,"2,305,386.5",45.6,"242,349.7",4.8,"393,519.4",7.8,"2,005.3",0.0,"42,741.4",0.8,"2,957.1",0.05843547
Dic 2013,"3,006,688.7",59.4,"2,321,104.8",45.9,"253,339.5",5.0,"402,922.9",8.0,0.0,0.0,"29,321.6",0.6,"3,584.3",0.070829615
Ene 2014,"2,993,077.2",59.1,"2,312,827.4",45.7,"246,322.4",4.9,"401,571.6",7.9,0.0,0.0,"32,355.7",0.6,"3,835.4",0.07579162
Feb 2014,"2,994,552.7",59.2,"2,313,517.6",45.7,"246,330.1",4.9,"403,242.6",8.0,0.0,0.0,"31,462.4",0.6,"3,883.6",0.076744104
Mar 2014,"3,012,587.5",59.5,"2,321,503.0",45.9,"247,614.1",4.9,"408,379.2",8.1,0.0,0.0,"35,091.2",0.7,"2,648.9",0.052345107
Abr 2014,"3,015,071.8",59.6,"2,335,148.0",46.1,"247,277.1",4.9,"400,596.9",7.9,0.0,0.0,"32,049.9",0.6,"2,861.7",0.056550263
May 2014,"3,067,256.8",60.6,"2,376,121.6",47.0,"246,263.1",4.9,"413,548.8",8.2,0.0,0.0,"31,323.3",0.6,"2,469.6",0.048801946
Jun 2014,"3,077,402.1",60.8,"2,377,230.3",47.0,"254,001.0",5.0,"411,769.4",8.1,0.0,0.0,"34,401.4",0.7,"1,207.9",0.0238694
Jul 2014,"3,096,078.1",61.2,"2,386,813.4",47.2,"249,703.3",4.9,"426,698.6",8.4,0.0,0.0,"32,862.8",0.6,"1,138.2",0.022492054
Ago 2014,"3,113,199.9",61.5,"2,405,206.3",47.5,"244,051.1",4.8,"431,365.2",8.5,0.0,0.0,"32,577.3",0.6,866.6,0.017124946
Sep 2014,"3,124,543.6",61.7,"2,413,903.5",47.7,"246,308.9",4.9,"429,931.0",8.5,0.0,0.0,"34,400.1",0.7,"1,335.1",0.026383009
Oct 2014,"3,150,010.1",62.2,"2,435,720.4",48.1,"241,595.5",4.8,"436,638.6",8.6,0.0,0.0,"36,055.6",0.7,"1,143.2",0.022590859
Nov 2014,"3,235,859.0",63.9,"2,470,314.1",48.8,"255,773.5",5.1,"471,171.1",9.3,0.0,0.0,"38,600.4",0.8,630.3,0.012455404
Dic 2014,"3,299,746.2",65.2,"2,495,243.1",49.3,"260,458.0",5.1,"501,714.8",9.9,0.0,0.0,"42,330.3",0.8,"1,031.6",0.020385523
Ene 2015,"3,323,816.5",65.7,"2,514,595.1",49.7,"252,573.7",5.0,"515,314.3",10.2,0.0,0.0,"41,333.4",0.8,"1,253.6",0.024772481
Feb 2015,"3,312,231.9",65.5,"2,511,249.7",49.6,"244,905.4",4.8,"513,961.5",10.2,0.0,0.0,"42,115.3",0.8,"1,628.6",0.032182884
Mar 2015,"3,349,791.8",66.2,"2,551,123.3",50.4,"245,098.6",4.8,"510,865.0",10.1,0.2,0.0,"42,704.7",0.8,"1,312.7",0.025940361
Abr 2015,"3,387,580.0",66.9,"2,585,404.7",51.1,"247,924.3",4.9,"508,082.2",10.0,0.2,0.0,"46,168.6",0.9,"2,149.4",0.042474451
May 2015,"3,446,804.8",68.1,"2,618,001.8",51.7,"254,888.6",5.0,"508,684.3",10.1,0.2,0.0,"65,229.8",1.3,"2,180.2",0.043083092
Jun 2015,"3,430,825.8",67.8,"2,617,240.8",51.7,"253,794.6",5.0,"508,245.2",10.0,0.0,0.0,"51,545.2",1.0,"2,242.5",0.044314207
Jul 2015,"3,467,571.4",68.5,"2,638,269.0",52.1,"254,857.6",5.0,"528,509.2",10.4,0.0,0.0,"45,935.6",0.9,"1,912.2",0.037787124
Ago 2015,"3,518,125.2",69.5,"2,678,349.3",52.9,"259,893.2",5.1,"532,609.3",10.5,0.0,0.0,"47,273.4",0.9,"1,791.0",0.035392082
Sep 2015,"3,576,826.3",70.7,"2,737,880.5",54.1,"253,752.2",5.0,"536,136.0",10.6,0.0,0.0,"49,057.6",1.0,932.3,0.018423249
Oct 2015,"3,577,135.9",70.7,"2,757,940.4",54.5,"249,413.5",4.9,"524,500.1",10.4,0.0,0.0,"45,281.9",0.9,972.8,0.019223572
Nov 2015,"3,637,701.3",71.9,"2,792,209.8",55.2,"269,682.6",5.3,"526,639.9",10.4,0.0,0.0,"49,169.0",1.0,797.6,0.015761432
Dic 2015,"3,748,640.8",74.1,"2,845,968.8",56.2,"295,040.0",5.8,"556,415.6",11.0,0.0,0.0,"51,216.4",1.0,"2,144.2",0.042371693
Ene 2016,"3,794,778.2",75.0,"2,901,760.7",57.3,"286,795.6",5.7,"555,464.9",11.0,0.0,0.0,"50,757.1",1.0,"1,886.8",0.037285193
Feb 2016,"3,793,089.2",75.0,"2,910,584.8",57.5,"272,500.9",5.4,"559,867.8",11.1,0.0,0.0,"50,135.6",1.0,"1,634.7",0.032303426
Mar 2016,"3,792,965.7",75.0,"2,891,217.6",57.1,"289,630.7",5.7,"561,477.9",11.1,0.0,0.0,"50,639.4",1.0,"1,768.5",0.034947458
Abr 2016,"3,813,480.0",75.4,"2,912,237.2",57.5,"290,970.4",5.7,"559,336.9",11.1,0.0,0.0,"50,935.5",1.0,"1,539.8",0.030428101
