value,group,percentage
1368,F,0.000262859
4247809.5,A,0.812085176
352168.5,B,0.067326658
537230.7,C,0.102706368
6.1,D,1.16618E-06
93529.1,E,0.01788065
1376.8,F,0.000263213
4248640.6,A,0.813655859
351124.4,B,0.067243726
529544.6,C,0.101412924
1.7,D,3.25566E-07
92356.4,E,0.017687146
1086.6,F,0.000208094
4309382.5,A,0.813376134
351335.5,B,0.06631296
536975.8,C,0.101351713
0,D,0
100448.6,E,0.018959211
1107.5,F,0.000209036
4277160.4,A,0.819498607
358285.6,B,0.068647075
493432.8,C,0.09454111
0,D,0
90361.7,E,0.017313189
1277.3,F,0.000244729
4273577.8,A,0.820453236
351020.1,B,0.067389806
499967.3,C,0.095985099
0,D,0
84236,E,0.016171859
1668.7,F,0.000320362
4325858.6,A,0.817355415
370423.9,B,0.069990263
515910.4,C,0.097479413
0,D,0
80313.3,E,0.015174909
1758.3,F,0.000332224
4281464.3,A,0.806710816
381248.3,B,0.071834565
566106.9,C,0.106665507
0,D,0
78490.4,E,0.014789112
1533.9,F,0.000289016
4290948.2,A,0.809295685
365499.7,B,0.06893519
562983.7,C,0.106181724
0,D,0
82645.6,E,0.0155874
1529.7,F,0.00028851
4333357,A,0.812003827
362696.4,B,0.067963675
552511.5,C,0.103532077
0,D,0
88056.5,E,0.016500421
1746.3,F,0.00032723
4627771.7,A,0.816663557
371995.3,B,0.065646066
568234.7,C,0.100276462
0,D,0
98679.1,E,0.017413915
2791.2,F,0.000492563
4698104,A,0.819425944
363805.6,B,0.063453629
565227,C,0.098584805
0,D,0
106272.4,E,0.018535639
2808.4,F,0.000489831
4624995.3,A,0.822506069
351051.1,B,0.062430693
550051.2,C,0.097820737
0,D,0
96955.5,E,0.017242501
2812,F,0.000500084
4578287.4,A,0.822956914
346251.2,B,0.062239391
545010.2,C,0.097966745
0,D,0
93667.7,E,0.016836969
2858.2,F,0.000513768
4497690.6,A,0.822360011
336593.1,B,0.061542852
545545.2,C,0.099747759
0,D,0
89418.7,E,0.01634936
2701.7,F,0.00049398
4458289.9,A,0.823439219
325298,B,0.060082035
545681.7,C,0.100786562
0,D,0
84961,E,0.015692165
2667.1,F,0.000492609
4422261,A,0.821730329
322607,B,0.059945796
556253.4,C,0.103361219
0,D,0
80523.7,E,0.014962655
2819.5,F,0.00052391
4428683.8,A,0.832463774
265997.6,B,0.049999814
548069,C,0.103021035
0,D,0
77221.4,E,0.014515378
2735.8,F,0.000514251
4390015.2,A,0.835589487
277050,B,0.052733318
522631.6,C,0.099476984
0,D,0
64097.4,E,0.012200211
1942.7,F,0.000369771
4330419.3,A,0.832712266
273193.5,B,0.052533384
534108.5,C,0.102705689
0,D,0
62657.6,E,0.012048661
1841.3,F,0.00035407
4337320.1,A,0.82684252
262503.1,B,0.050042127
580363.5,C,0.110637262
0,D,0
65455.7,E,0.01247811
1962.7,F,0.000374158
4345926.6,A,0.827543938
268344.7,B,0.051097741
577543.8,C,0.109974906
0,D,0
59781.2,E,0.011383434
1907,F,0.000363128
4342693.8,A,0.826248927
263556.8,B,0.050144803
593757.9,C,0.112969473
0,D,0
55906.1,E,0.010636798
2346.4,F,0.00044643
