value,group,percentage
68659.9,D,0.045053918
14483.9,E,0.009504186
2371.1,F,0.001555891
1297758.9,A,0.836663945
59791,B,0.038547202
102719.2,C,0.066222972
68750.2,D,0.044323189
22092,E,0.014242692
1926,F,0.00124169
1341780.4,A,0.839035939
67913.8,B,0.042467545
100838.4,C,0.063055804
68654.4,D,0.042930653
20006,E,0.01251006
1998.4,F,0.00124963
1377411.6,A,0.845154972
68500,B,0.042030367
96246.9,C,0.059055366
68629.1,D,0.042109581
18986.4,E,0.011649713
1364.2,F,0.000837049
1415103.5,A,0.846247936
69179,B,0.041369826
97073.4,C,0.058050994
68686.7,D,0.041075425
22166.5,E,0.013255818
1137.2,F,0.000680058
1446137.7,A,0.848889613
69538.7,B,0.040819543
97343.9,C,0.057141326
65830.5,D,0.038642812
24713.1,E,0.014506706
1141.4,F,0.000670007
1459259.4,A,0.849635438
72908.9,B,0.04245029
105799.8,C,0.061600603
62564.9,D,0.036427626
16979.4,E,0.009886042
1736.3,F,0.001010939
1481714.7,A,0.852050836
69831.4,B,0.040156113
108762.3,C,0.062543085
61546.6,D,0.03539199
17143,E,0.009857976
1472.1,F,0.000846522
1501055,A,0.855184705
70266.3,B,0.040032287
108636.8,C,0.061892822
53476.8,D,0.030466933
21805.8,E,0.012423253
1651.9,F,0.000941124
1423986.3,A,0.80755927
141683.1,B,0.080350142
124814.1,C,0.070783535
50470.6,D,0.028622467
22366.9,E,0.01268453
1552.6,F,0.000880498
1447221.6,A,0.812451019
141495.6,B,0.079433754
123036.2,C,0.069070891
45962,D,0.025802457
23587.9,E,0.013241934
1722.7,F,0.000967101
1459201.5,A,0.804147428
145625,B,0.080252089
134037.1,C,0.073866145
43888.6,D,0.02418645
31842.2,E,0.017547832
1862.7,F,0.00102651
1464423.5,A,0.80508038
145246.5,B,0.079850608
136592,C,0.075092717
38020.5,D,0.020902122
34695.4,E,0.019074117
2176.8,F,0.001196716
1478073.5,A,0.806001973
145529.2,B,0.079357909
139103.5,C,0.075853938
31536.9,D,0.017197253
39590.5,E,0.021588927
2005.9,F,0.001093829
1499712.3,A,0.806589997
147601.8,B,0.07938465
142238.7,C,0.076500214
31636.9,D,0.017015268
38134.4,E,0.020509817
1679.5,F,0.000903285
1460998,A,0.784123943
190637.2,B,0.102315809
141161.2,C,0.075761826
30874.4,D,0.016570424
39552.6,E,0.021228051
1839.9,F,0.000987482
1517205.3,A,0.795334248
186144.6,B,0.097578868
147186.5,C,0.077156641
22322.3,D,0.011701574
34773.6,E,0.01822867
2166.3,F,0.001135596
1538926,A,0.800917805
181311.3,B,0.094361554
142010.8,C,0.073908023
22401.6,D,0.011658676
36803.4,E,0.019153941
1993.6,F,0.001037548
1522956.4,A,0.808543218
167375.2,B,0.088860116
132990.3,C,0.070605045
20824.1,D,0.011055592
39434.7,E,0.020936029
1715.9,F,0.000910978
1547746.6,A,0.813397505
162411.3,B,0.085353084
135501.5,C,0.071210999
20880,D,0.010973204
36277.6,E,0.019065207
1430.1,F,0.00075157
1549619.9,A,0.81424292
159662.5,B,0.08389416
136781.8,C,0.071871568
20943.9,D,0.011004907
36133.9,E,0.018986445
1605.6,F,0.000843657
1526916.6,A,0.814981513
153846.3,B,0.082114433
135773.4,C,0.072468143
20414.8,D,0.010896263
36608.6,E,0.019539595
1673,F,0.000892953
1519084.6,A,0.815306623
153272.5,B,0.082262755
135716.2,C,0.072840128
20419,D,0.010959064
34714.2,E,0.018631429
1863,F,0.000999889
1509172.4,A,0.815601336
150337.1,B,0.081246609
138858.2,C,0.075043072
20420.2,D,0.011035679
31592.1,E,0.017073304
1777,F,0.000960343
